race,year,winner,country,team,distance
Tour de France,2008,Carlos Sastre,Spain,Team CSC,"3,559 km (2,211 mi)"
Tour de France,2009,Alberto Contador,Spain,Astana,"3,459 km (2,149 mi)"
Tour de France,2010,Andy Schleck[e],Luxembourg,Team Saxo Bank,"3,642 km (2,263 mi)"
Tour de France,2011,Cadel Evans,Australia,BMC Racing Team,"3,430 km (2,130 mi)"
Tour de France,2012,Bradley Wiggins,Great Britain,Team Sky,"3,496 km (2,172 mi)"
Tour de France,2013,Chris Froome,Great Britain,Team Sky,"3,404 km (2,115 mi)"
Tour de France,2014,Vincenzo Nibali,Italy,Astana,"3,660.5 km (2,274.5 mi)"
Tour de France,2015,Chris Froome,Great Britain,Team Sky,"3,360.3 km (2,088.0 mi)"
Tour de France,2016,Chris Froome,Great Britain,Team Sky,"3,529 km (2,193 mi)"
Tour de France,2017,Chris Froome,Great Britain,Team Sky,"3,540 km (2,200 mi)"
Tour de France,2018,Geraint Thomas,Great Britain,Team Sky,"3,349 km (2,081 mi)"
Tour de France,2019,Egan Bernal,Colombia,Team Ineos,"3,366 km (2,092 mi)"
Tour de France,2020,Tadej Pogačar§,Slovenia,UAE Team Emirates,"3,484 km (2,165 mi)"
Tour de France,2021,Tadej Pogačar§,Slovenia,UAE Team Emirates,"3,414.4 km (2,121.6 mi)"
Tour de France,2022,Jonas Vingegaard,Denmark,Team Jumbo–Visma,"3,328 km (2,068 mi)"
Tour de France,2023,Jonas Vingegaard,Denmark,Team Jumbo–Visma,"3,406 km (2,116 mi)"
Tour de France,2024,Tadej Pogačar,Slovenia,UAE Team Emirates,"3,498 km (2,174 mi)"
Tour de France,2025,Tadej Pogačar,Slovenia,UAE Team Emirates XRG,"3,320 km (2,060 mi)"
Giro d'Italia,1909,Luigi Ganna,Italy,Atala–Dunlop,"2,445 km (1,519 mi)"
Giro d'Italia,1910,Carlo Galetti,Italy,Atala–Continental,"2,984 km (1,854 mi)"
Giro d'Italia,1911,Carlo Galetti,Italy,Bianchi,"3,526 km (2,191 mi)"
